                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43023,                0.20715,                0.78609,                0.99388,                0.99634,                0.99493,                0.88722,                0.54893,                0.22563,                0.81063,             0.00023416,             0.00023416,             0.00023416
                      2,                0.43654,                0.21033,                0.78608,                0.99336,                 0.9937,                0.99496,                0.88875,                0.54293,                0.22798,                0.81067,             0.00046281,             0.00046281,             0.00046281
                      3,                0.44555,                0.21444,                  0.788,                0.99438,                0.99589,                0.99492,                0.87695,                0.56535,                0.23456,                0.81314,             0.00068204,             0.00068204,             0.00068204
                      4,                0.44178,                 0.2133,                 0.7914,                0.99438,                0.99519,                0.99495,                0.89297,                0.57257,                0.23396,                0.81561,             0.00067159,             0.00067159,             0.00067159
                      5,                0.44129,                0.23004,                0.78878,                0.99432,                0.99591,                 0.9949,                 0.8831,                0.55333,                0.23003,                0.81228,             0.00065745,             0.00065745,             0.00065745
                      6,                0.43247,                  0.211,                0.79004,                0.99332,                 0.9954,                0.99494,                0.87807,                0.56761,                0.23692,                0.81439,             0.00064331,             0.00064331,             0.00064331
                      7,                0.44669,                0.22051,                 0.7879,                0.99491,                 0.9954,                0.99496,                 0.8868,                0.54834,                0.22299,                0.81121,             0.00062918,             0.00062918,             0.00062918
                      8,                0.43758,                0.21178,                0.79277,                0.99322,                0.99489,                0.99483,                0.88418,                0.56112,                0.22836,                0.81325,             0.00061504,             0.00061504,             0.00061504
                      9,                0.43382,                0.20845,                0.78769,                 0.9949,                0.99642,                0.99494,                0.88245,                0.56295,                 0.2259,                0.81316,              0.0006009,              0.0006009,              0.0006009
                     10,                0.43861,                0.21428,                0.79097,                0.99485,                 0.9954,                0.99496,                0.89089,                0.54851,                0.22924,                0.81237,             0.00058677,             0.00058677,             0.00058677
                     11,                0.43604,                0.20998,                0.78778,                0.99326,                0.99489,                0.99492,                0.88486,                0.55677,                0.22793,                0.81211,             0.00057263,             0.00057263,             0.00057263
                     12,                0.42064,                0.20472,                0.78503,                0.99458,                0.99642,                0.99494,                0.88881,                0.56704,                0.22966,                0.81415,             0.00055849,             0.00055849,             0.00055849
                     13,                0.42469,                0.21313,                0.78558,                 0.9954,                0.99582,                0.99493,                0.88449,                0.55235,                0.22467,                0.81197,             0.00054435,             0.00054435,             0.00054435
                     14,                0.42146,                0.20605,                0.78791,                0.99286,                0.99477,                0.99493,                0.89082,                0.54487,                0.22367,                0.81141,             0.00053022,             0.00053022,             0.00053022
                     15,                0.42711,                0.21009,                0.78786,                0.99331,                0.99438,                0.99494,                 0.8877,                0.55406,                0.22156,                0.81205,             0.00051608,             0.00051608,             0.00051608
                     16,                0.42453,                0.20461,                0.78913,                0.99438,                0.99489,                0.99494,                0.88512,                0.56201,                0.22512,                0.81436,             0.00050194,             0.00050194,             0.00050194
                     17,                0.42714,                0.20386,                0.78749,                0.99373,                0.99489,                0.99492,                0.89335,                0.55911,                 0.2254,                0.81402,              0.0004878,              0.0004878,              0.0004878
                     18,                0.41922,                0.20044,                0.78586,                0.99336,                0.99481,                0.99489,                0.88891,                0.55575,                0.22408,                 0.8128,             0.00047367,             0.00047367,             0.00047367
                     19,                0.41763,                0.19765,                0.78826,                0.99254,                0.99489,                0.99495,                0.89186,                0.54367,                0.21894,                0.81072,             0.00045953,             0.00045953,             0.00045953
                     20,                 0.4171,                0.20037,                0.79093,                0.99184,                0.99378,                0.99491,                0.88214,                0.56887,                0.22593,                0.81577,             0.00044539,             0.00044539,             0.00044539
